id,text,sindiran
2058089985388290048,"Qurban tahun ini terasa lebih hangat dan penuh makna 🤍

Alhamdulillah, Yatim Mandiri Ngawi bersama Ngawi Madang sukses menggelar program Misi Berbagi Gizi di TPQ As-Sholikhin, Kedunggalar, Ngawi. https://t.co/sdA67avQ7Y",False
2058413396454715904,"@Sekjebn keren banget langkah polres labusel 👏 program sppg 5 ini jadi bukti nyata kalau Melayani Gizi Indonesia bukan cuma slogan, tapi aksi langsung buat bantu anak-anak sekolah 🌟 #MenjagaKetahananPangan",True
2058101355991200000,"Sepasang remaja asal Temanggung kepergok sedang berduaan di toilet SPBU Soco Slogohimo, Kab. Wonogiri. 

Kenikmatan sesaat menjadi aib seumur hidup 😂 https://t.co/Y0uR0fWeIF",False
2058425004430382080,@cintamiyamin DONE YACHHHH ig ak yng sylveaj🌟🌟🌟,False
2058410358654823936,"pemanfaatan lahan kosong jadi langkah nyata untuk masa depan pangan, polsek rupat hadir memberi edukasi dan dorongan kepada masyarakat agar lebih peduli terhadap ketahanan pangan di lingkungan sekitar. dari hal sederhana dimulai 🙌
#MenjagaKetahananPangan
Melayani Gizi Indonesia https://t.co/nDfYKluTHo",False
2058026702631239936,"Dari tanah Nabire, Papua Tengah, para mama-mama pemasok hasil bumi menyampaikan rasa terima kasih karena program MBG ikut membuka ruang bagi hasil kebun dan pangan lokal untuk lebih dihargai. 
Bukan cuma membantu gizi anak-anak, tapi juga menggerakkan ekonomi rakyat kecil sampai ke daerah  ✊🇮🇩",False
2057939599213859072,@spicygumbear petite yg sehat bukan kurang gizi juga 🙃,False
2058216592429735936,@The911onABC and big brother chris looking out for him ❤️,False
2058442676341722880,"Berawal dari telor, urusan jadi panjang 😂 https://t.co/fQyjfODUu0",False
2055280431273272064,"KAGET ternyata dari awal mulai diet sampe sekarang, aku udah turun 4kg 🥺

The power of GERAK, karna setahun ke belakang (lebih) aku diem 24/7, makasih treadmill, makasih dr gizi awkwkwk https://t.co/HlzXoodUDW",True
2054576694108013056,"2 Satpam SMK 1 Polewali Mandar, Sulbar menjadi korban pengeroyokan sejumlah siswa gegara tidak terima ditegur saat dipergoki merokok &amp; panjat pagar pagar sekolah!

Calon2 pengangguran 😂 https://t.co/0H0WxKzqBS",False
2054402860948005120,"Program politik berkedok gizi harus lihat video ini, makan nasi dan lauk sepuasnya hanya bayar Rp.5.000 tapi keuntungan bisa mencapai 17 juta per hari,.

Warung Pak Rudi terletak di Sukoharjo - Jawa Tengah, apa rahasianya? Simak video singkat ini.👇 https://t.co/qHFqNqJmch",False
2056169218891227904,"Gegara uang 300 ribu dipakai modal untuk jualan &amp; beli susu anaknya, seorang laki2 miskin tanggung jawab di kota Makassar mengamuk mengancam pakai badik minta uang tsb dikembalikan.

Kasih dia MBG (Makan Beracun Gratis) biar cepet menghadap 😂 https://t.co/ZCo9TjSw3w",False
