id,text
2058413396454715904,"@Sekjebn keren banget langkah polres labusel 👏 program sppg 5 ini jadi bukti nyata kalau Melayani Gizi Indonesia bukan cuma slogan, tapi aksi langsung buat bantu anak-anak sekolah 🌟 #MenjagaKetahananPangan"
2055280431273272064,"KAGET ternyata dari awal mulai diet sampe sekarang, aku udah turun 4kg 🥺

The power of GERAK, karna setahun ke belakang (lebih) aku diem 24/7, makasih treadmill, makasih dr gizi awkwkwk https://t.co/HlzXoodUDW"
2057770875638989056,"@denni_sauya dikorupsiin lg ntar. Kayak MBG
Makanan yg diterima murid cuma kayak gini. 
Ahli gizi nya digaji mahal... 
Makanan nya cuma hrga 4 ribu an itu 🌹 https://t.co/g7qARJYryb"
2056904010846642944,"Cerito ning ibuk bar ditolak mergo kurang duwur malah ibuk nangis karo jaluk sepuro -rek
Jare pas aku cilik gaiso wenehi gizi yang lebih dadi gaiso duwur 😌"
2056660512084307968,"Dua ruang kelas SMAN 7 Mataram tiba2 ambruk &amp; rubuh karena banyak yang dikorupsi 🤪

Akibat kejadian ini, sejumlah siswa mengalami luka2 &amp; otomatis akan menghambat proses penyaluran MBG (bukan menghambat proses belajar mengajar) 😂 https://t.co/pQFlO7p7CC"
2053784799509446912,"🔥 SPPG Klaten Disetop Total! Ratusan Siswa Keracunan MBG, Air Dapur Positif Bakteri E Coli

Badan Gizi Nasional resmi menghentikan sementara operasional Satuan Pelayanan Pemenuhan Gizi (SPPG) di Kabupaten Klaten, Jawa Tengah, setelah ratusan siswa SMPN 1 Tulung mengalami keracunan usai mengonsumsi makanan dari program Makan Bergizi Gratis (MBG).

Keputusan penghentian sementara atau suspend itu disampaikan Koordinator Wilayah BGN Kabupaten Klaten, Yoga Angga Pratama, setelah proses investigasi terkait kasus keracunan selesai dilakukan.
“Untuk kasus Tulung sudah kami investigasi dan sudah selesai. SPPG disuspend (diberhentikan operasional),” kata Koordinator Wilayah BGN Kabupaten Klaten, Yoga Angga Pratama, saat dikonfirmasi https://t.co/pDTpgKKnyg melalui pesan singkat, Minggu (10/5/2026).

Menurut Yoga, operasional SPPG tidak bisa langsung dibuka kembali sebelum seluruh persyaratan dari BGN dipenuhi oleh pihak pengelola.
“Diberikan waktu untuk memenuhi persyaratan BGN untuk dapat operasional kembali,” ujar dia.

Hasil pemeriksaan laboratorium menemukan bahwa sampel air yang digunakan dalam operasional dapur SPPG ternyata positif mengandung bakteri Escherichia coli atau E coli. Temuan tersebut menjadi salah satu faktor utama penghentian sementara layanan MBG di lokasi tersebut.
“Dikarenakan hasil lab pasca keracunan terdapat hasil positif bakteri E coli maka perlu evaluasi pengecekan sampel air yang digunakan SPPG, pembenahan bangunan infrastruktur SPPG, dan evaluasi relawan SPPG,” kata Yoga.

Selama masa suspend berlangsung, mitra pengelola SPPG dipastikan tidak akan menerima insentif dari Badan Gizi Nasional.
“Mitra (SPPG) tidak mendapatkan insentif selama masa suspend,” tegasnya.

Sebelumnya, Dinas Kesehatan Kabupaten Klaten juga telah melakukan pemeriksaan terhadap sejumlah sampel makanan yang diduga menjadi penyebab keracunan massal para siswa. Sampel tersebut kemudian diuji di Balai Laboratorium Kesehatan dan Kalibrasi Yogyakarta.
Kepala Dinkes Kabupaten Klaten, Anggit Budiarto, mengungkapkan hasil pemeriksaan menunjukkan beberapa menu makanan positif mengandung bakteri Bacillus sp.

“Dari hasil pemeriksaan sampel yang kami kirim ke Balabkes Jogja, baik telur puyuh, galantin maupun kuah timlo semuanya positif Bacillus sp,” kata Kepala Dinkes Kabupaten Klaten, Anggit Budiarto, Rabu (6/5/2026).

Menurut Anggit, bakteri Bacillus sp dapat tumbuh pada bahan makanan dan menghasilkan spora yang berpotensi menyebabkan gangguan kesehatan apabila makanan tidak diolah dengan baik.
“Dugaan kami terkait dengan yang terjadi di Tulung kemarin adalah disebabkan karena dari itu (bakteri Bacillus sp),” ujar dia.

Meski sempat menyebabkan kepanikan dan perawatan terhadap sejumlah siswa, Dinas Kesehatan memastikan seluruh siswa yang terdampak kini telah dipulangkan dalam kondisi membaik.
“Semuanya sudah pulang ke rumah dalam kondisi yang baik,” kata Anggit.

Kasus keracunan massal ini kembali memunculkan sorotan terhadap pengawasan kualitas makanan dalam program MBG, terutama terkait standar kebersihan dapur, kualitas air, dan pengolahan makanan di SPPG.
Sumber: https://t.co/pDTpgKKnyg"
2057437332664692992,"@daryllno4h @Verun_000 Bokap gua tetep kerja walaupun gua sakit, malah bokap ga pernah lebaran hari H
, karena posisi kepala instalasi gizi di rumah sakit 🫡 gua bersyukur, karena bokap bisa beliin motor pas gua kuliah, gua bisa kuliah ke jogja, uang jajan 3jt/bulan. Bukan anak manja 🤝🏻"
2057646115504440064,"gatau deh apa yg disaranin sama ahli gizi dia, tapi dia tuh kerjaannya banyak dan nguras otak kobisa ya puasa 2 hari lebih... aku yg kalo laper malah gabisa mikir ga bisa relate banget 😔"
2058382812978503936,"@newIding30 @bonapasogit24 @trihhh14 @branjangankawat @tokaidirecycle @DestaMega27 @wiyantokdr54 @NusantaraJaya26 @YosAditya61 @HafsaHerma41994 @mikuroQ @Asuka49043105 @fahmanSaja @riyadisugeng167 @Jediimar Badan gizi nasional katanya
Artinya standard gizi orang indo tuh begitu 🤣🤣🤣"
2056024491021743104,‼️Kami mengecam kerja-kerja busuk yang dilakukan oleh seorang bedebah bernama tedy indra wijaya ‼️ https://t.co/t1Wnd9Cjyy
